Region,Sample_Name,Location,State,Host,Year,ArA03T,ArH05T,ArR12D,ME14-1-56,ME14-1-63,ME14-1-83,ME14-1-91
5,17CUR002,Curyo,VIC,Genesis 090,2017,0,239,189,379,316,283,342
5,17CUR004,Curyo,VIC,Genesis 090,2017,0,239,189,0,0,283,342
5,17CUR005,Curyo,VIC,Genesis 090,2017,412,239,189,379,316,283,342
5,17CUR006,Curyo,VIC,Genesis 090,2017,0,239,189,379,0,283,342
5,17CUR007,Curyo,VIC,Genesis 090,2017,0,239,189,379,316,283,342
5,17CUR008,Curyo,VIC,Genesis 090,2017,0,239,0,0,0,283,0
5,17CUR009,Curyo,VIC,Genesis 090,2017,0,0,189,0,0,0,0
5,17CUR010,Curyo,VIC,Genesis 090,2017,0,239,189,0,0,283,0
5,17CUR011,Curyo,VIC,Genesis 090,2017,412,239,191,379,316,283,342
5,17CUR012,Curyo,VIC,Genesis 090,2017,0,239,189,379,316,283,342
5,17CUR015,Curyo,VIC,Genesis 090,2017,0,239,0,0,316,283,342
5,17CUR016,Curyo,VIC,Genesis 090,2017,412,239,189,379,316,283,342
5,17CUR017,Curyo,VIC,Genesis 090,2017,0,0,0,379,0,283,0
5,17HOR002,Horsham,VIC,Genesis 090,2017,0,239,0,0,0,0,0
6,F17081-3,Wasleys,SA,Genesis 090,2017,0,0,189,0,0,0,0
6,F17082-1,Appila (Booleroo),SA,PBA Slasher,2017,0,239,189,0,0,0,342
7,MER 17.380,Merredin,WA,PBA Striker,2017,0,0,189,0,0,0,0
7,MER 17.382,Merredin,WA,PBA Striker,2017,0,239,189,0,0,283,0
7,MER 17.383,Merredin,WA,PBA Striker,2017,0,239,0,0,0,0,0
1,TR9637,Yarranlea,QLD,Seamer,2017,0,239,189,0,316,283,342
3,TR9706,Walgett,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
3,TR9707,Walgett,NSW,PBA Seamer,2017,0,239,189,379,316,283,342
3,TR9710,Walgett,NSW,PBA Seamer,2017,0,239,189,0,0,0,342
1,TR9295,0,QLD,0,2017,0,239,0,379,0,283,342
1,TR9529,Chinchilla,QLD,PBA Seamer,2017,0,239,0,0,0,0,0
1,TR9530,Chinchilla,QLD,PBA Seamer,2017,0,239,0,0,0,283,342
1,TR9535,Gravel Pit Hill,QLD,PBA Seamer,2017,0,239,0,379,0,283,342
1,TR9538,Gravel Pit Hill,QLD,PBA Seamer,2017,0,239,0,0,0,0,342
1,TR9539,Fox Holes,QLD,PBA Seamer,2017,0,239,0,0,0,283,342
1,TR9542,Fox Holes,QLD,PBA Seamer,2017,0,0,0,0,0,0,342
3,TR9688,Merrigal,NSW,PBA HatTrick,2017,0,0,0,0,0,283,0
3,TR9713,Walgett,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
3,TR9703,Walgett,NSW,PBA Seamer,2017,0,236,0,0,0,0,342
3,TR9704,Walgett,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
3,TR9705,Walgett,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9599,Tara,QLD,PBA Seamer,2017,412,0,189,379,316,283,342
4,F17076-3,Finley,NSW,Genesis 090,2017,412,239,189,379,316,283,342
3,TR9700,Walgett,NSW,PBA HatTrick,2017,0,239,0,0,316,0,342
3,TR9574,Gurley,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
3,TR9571,Gurley,NSW,PBA Seamer,2017,0,239,189,379,316,283,342
1,TR9597,Dalby,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
3,TR9568,Edgeroi,NSW,PBA Seamer,2017,0,239,189,379,316,283,342
1,TR9531,Chinchilla,QLD,PBA Seamer,2017,0,0,189,0,0,0,0
1,TR9630,Dalby,QLD,PBA Seamer,2017,0,0,189,0,0,0,0
3,TR9570,Gurley,NSW,PBA Seamer,2017,0,239,189,0,0,283,0
1,TR9600,Tara,QLD,PBA Seamer,2017,0,236,0,379,316,283,342
1,TR9678,Brooklands,QLD,PBA Seamer,2017,0,239,189,0,0,283,0
1,TR9670,Brooklands,QLD,PBA Seamer,2017,0,239,189,0,0,0,0
1,TR9667,Cranbrook,QLD,PBA Seamer,2017,427,239,189,379,316,283,342
1,TR9634,Dalby,QLD,PBA Seamer,2017,0,0,189,0,0,0,0
1,TR9632,Dalby,QLD,PBA Seamer,2017,0,0,189,0,0,0,0
1,TR9531,Chinchilla,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
2,TR9572,Gurley,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
2,TR9573,Gurley,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9671,Brooklands,QLD,PBA Seamer,2017,415,239,189,379,316,283,345
1,TR9673,Brooklands,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9601,Tara,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9598,Tara,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9630,Dalby,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9537,Dalby,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9570,Gravel Pit Hill,QLD,PBA Seamer,2017,412,239,189,379,319,283,342
2,TR9600,Tara,QLD,PBA Seamer,2017,412,236,189,379,316,283,342
1,TR9768,Emerald,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9678,Brooklands,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9670,Brooklands,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9669,Cranbrook,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9666,Cranbrook,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9665,Cranbrook,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9664,Cranbrook,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9634,Dalby,QLD,PBA Seamer,2017,412,236,189,379,316,283,342
1,TR9633,Dalby,QLD,PBA Seamer,2017,412,239,189,379,316,283,342
1,TR9632,Dalby,QLD,PBA Seamer,2017,412,236,189,379,316,283,342
6,17200-2,Kulpara,SA,Sonali,2017,412,239,189,379,316,283,342
6,17200-3,Kulpara,SA,Sonali,2017,412,239,189,379,316,283,342
6,17067-2,Coonalpyn,SA,Genesis 090,2017,412,239,189,0,316,283,342
4,17076-2,Finley,NSW,Genesis 090,2017,412,239,189,379,316,283,342
4,17076-3,Finley,NSW,Genesis 090,2017,412,239,189,379,316,283,342
6,17067-3,Coonalpyn,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,17077-2,Bute,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,17077-3,Bute,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,122-2,Wasleys,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,122-3,Wasleys,SA,Genesis 090,2017,412,239,189,379,316,283,342
5,A17061,N/A,VIC,Genesis 090,2017,412,239,189,379,316,283,342
5,A17062,N/A,VIC,Genesis 090,2017,412,239,189,379,316,283,342
5,A17092,N/A,VIC,Genesis 090,2017,412,239,189,379,316,283,342
6,17066-1,N/A,SA,Genesis 090,2017,412,0,189,381,316,283,342
6,17067-1,Coonalpyn,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,17076-1,Finley,NSW,Genesis 090,2017,412,239,189,379,316,283,342
6,17081-1,Wasleys,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,17082-2,Appila (Booleroo),SA,PBA Slasher,2017,412,239,189,379,316,283,342
6,17175-1,Elmore,VIC,Genesis 090,2017,412,239,189,379,316,283,342
6,17081-2,Wasleys,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,17191-1,Pt Broughton,SA,Genesis 090,2017,412,239,189,379,316,283,342
7,MER17374,Merredin,WA,PBA Striker,2017,412,239,189,379,316,283,342
7,MER17377,Merredin,WA,PBA Striker,2017,415,239,189,379,316,283,342
7,MER17378,Merredin,WA,PBA Striker,2017,415,239,189,379,316,283,342
7,MER17380,Merredin,WA,PBA Striker,2017,412,239,189,379,316,283,342
7,MER17383,Merredin,WA,PBA Striker,2017,415,239,189,379,316,283,342
3,TR9700,Walgett,NSW,PBA HatTrick,2017,412,239,189,379,0,283,342
3,TR9701,Walgett,NSW,PBA HatTrick,2017,412,239,189,379,316,283,342
3,TR9702,Walgett,NSW,PBA HatTrick,2017,412,239,189,379,316,283,342
3,TR9703,Walgett,NSW,PBA HatTrick,2017,412,239,189,379,316,283,342
3,TR9707,Walgett,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
3,TR9709,Walgett,NSW,PBA HatTrick,2017,412,239,189,379,316,283,342
3,TR9710,Walgett,NSW,PBA HatTrick,2017,415,239,189,379,316,283,342
3,TR9712,Walgett,NSW,PBA HatTrick,2017,412,239,189,379,316,283,342
5,17CUR001,Curyo,VIC,Genesis 090,2017,412,239,189,379,316,283,342
5,17CUR007,Curyo,VIC,Genesis 090,2017,412,239,189,379,316,283,342
5,17CUR009,Curyo,VIC,Genesis 090,2017,412,239,189,379,316,283,342
5,17CUR013,Curyo,VIC,Genesis 090,2017,0,239,189,379,316,283,342
6,F17174-1,Strathalbyn,SA,Genesis 090,2017,0,239,189,379,316,283,342
5,A17063,N/A,VIC,Genesis 090,2017,412,239,189,379,316,0,342
5,A17066,N/A,VIC,Genesis 090,2017,412,0,0,379,316,283,342
5,A17069,N/A,VIC,Genesis 090,2017,412,239,189,379,316,283,342
6,17201-1,Balaklava SA,SA,Sonali,2017,412,239,189,379,316,283,342
6,17175-2,Elmore,VIC,Genesis 090,2017,412,239,189,381,316,283,342
6,17191-2,Pt Broughton,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,17081-3,Wasleys,SA,Genesis 090,2017,412,239,189,379,316,283,342
2,TR9574,Gurley,NSW,PBA Seamer,2017,412,239,189,379,316,283,342
6,17165-1,Blyth SA,SA,Genesis 090,2017,412,239,189,379,316,283,342
6,17200-1,Kulpara SA,SA,Sonali,2017,412,239,189,379,316,283,342
